"Bayunit","Year","Estimate.Nonpups","SD.Nonpups","Estimate.Pups","SD.Pups","BAYNUM","BAYDESC"
"CELPT",1999,2061,654.4,60,46.2,12,"Cape Elizabeth to Isle of Shoals"
"COBSB",2009,334,137.7,59,61.9,1,"Cobscook Bay"
"COBSB",2014,327,127,59,54.3,1,"Cobscook Bay"
"COBSB",1996,305,112.5,58,53.6,1,"Cobscook Bay"
"COBSB",2016,324.5,128.4,57,58.7,1,"Cobscook Bay"
"COBSB",2010,330,137.3,61,57.6,1,"Cobscook Bay"
"COBSB",1993,244,59.8,38,8.6,1,"Cobscook Bay"
"COBSB",2000,378,129.1,60,52.4,1,"Cobscook Bay"
"COBSB",2015,334,131.5,61.5,48.6,1,"Cobscook Bay"
"COBSB",2017,337,120.2,58,52,1,"Cobscook Bay"
"COBSB",1998,319,113.7,59,48.5,1,"Cobscook Bay"
"COBSB",2012,328,131.4,59,52.4,1,"Cobscook Bay"
"COBSB",2011,333,137,61,59.4,1,"Cobscook Bay"
"COBSB",2008,328.5,126.4,62,57.2,1,"Cobscook Bay"
"COBSB",2003,353.5,136.8,64,56,1,"Cobscook Bay"
"COBSB",2001,479,78.6,96,13.7,1,"Cobscook Bay"
"COBSB",2013,329,134,59,52.9,1,"Cobscook Bay"
"COBSB",2018,347,83.4,60,10.8,1,"Cobscook Bay"
"COBSB",1994,293.5,105.3,55,54.5,1,"Cobscook Bay"
"COBSB",2006,338.5,139.2,61,52.6,1,"Cobscook Bay"
"COBSB",1995,304,108.7,61,48.6,1,"Cobscook Bay"
"COBSB",1999,351,124.1,62,52.1,1,"Cobscook Bay"
"COBSB",1997,280,65.1,57,10.8,1,"Cobscook Bay"
"COBSB",2005,341,140.3,61,55.1,1,"Cobscook Bay"
"COBSB",2004,338,141.6,62,50.3,1,"Cobscook Bay"
"COBSB",2002,391,135.1,62.5,55.9,1,"Cobscook Bay"
"COBSB",2007,336.5,130.5,60,52.6,1,"Cobscook Bay"
"EB",2009,1548.5,516.7,511,395.8,4,"Eastern Bay"
"EB",2014,1523,480.5,503.5,432.2,4,"Eastern Bay"
"EB",1998,1644,485.5,525.5,434.2,4,"Eastern Bay"
"EB",1996,1664,490.3,504.5,472.6,4,"Eastern Bay"
"EB",2016,1478.5,491.1,512,461.3,4,"Eastern Bay"
"EB",2010,1509.5,518.5,521.5,453.5,4,"Eastern Bay"
"EB",2001,1457,83.4,567.5,33.5,4,"Eastern Bay"
"EB",1993,1552,279.1,308,24.9,4,"Eastern Bay"
"EB",2017,1454,423.5,534.5,430.2,4,"Eastern Bay"
"EB",2015,1538.5,491.3,515.5,430.5,4,"Eastern Bay"
"EB",2006,1538,524.5,542,445.7,4,"Eastern Bay"
"EB",2012,1525,163.2,719,37.4,4,"Eastern Bay"
"EB",2011,1536.5,476.4,521.5,474.9,4,"Eastern Bay"
"EB",2018,1358.5,110.4,442,30,4,"Eastern Bay"
"EB",1997,1835,307,596,34.8,4,"Eastern Bay"
"EB",2003,1478.5,523.7,530.5,465,4,"Eastern Bay"
"EB",1994,1560.5,448.5,490.5,442.9,4,"Eastern Bay"
"EB",1995,1598.5,496.8,487,415.5,4,"Eastern Bay"
"EB",2002,1495,431.6,513.5,397.7,4,"Eastern Bay"
"EB",2008,1529,541.5,516.5,456.1,4,"Eastern Bay"
"EB",2000,1537.5,433.9,528.5,382.8,4,"Eastern Bay"
"EB",1999,1573.5,470.1,525,467.4,4,"Eastern Bay"
"EB",2013,1534,447.8,524,454.5,4,"Eastern Bay"
"EB",2005,1522.5,495.8,516,452.9,4,"Eastern Bay"
"EB",2004,1507.5,541.7,531,429.9,4,"Eastern Bay"
"EB",2007,1516,543.7,536.5,490.3,4,"Eastern Bay"
"ENGB",2017,512,166.8,106,94.1,3,"Englishmans Bay"
"ENGB",2008,463,167.2,104,95.9,3,"Englishmans Bay"
"ENGB",1999,432.5,145.5,101,97.1,3,"Englishmans Bay"
"ENGB",2006,462,170.3,100.5,89,3,"Englishmans Bay"
"ENGB",2010,465,176.4,109,94.7,3,"Englishmans Bay"
"ENGB",2009,460,169.3,106,84,3,"Englishmans Bay"
"ENGB",2018,635.5,72.3,154,17.8,3,"Englishmans Bay"
"ENGB",2015,477,176.7,99,86.5,3,"Englishmans Bay"
"ENGB",2014,467,167.1,97,87.1,3,"Englishmans Bay"
"ENGB",2016,480,164.1,102,91.9,3,"Englishmans Bay"
"ENGB",2007,463.5,170.1,102,88.9,3,"Englishmans Bay"
"ENGB",2000,410,133.5,99,87.5,3,"Englishmans Bay"
"ENGB",2013,476,168.5,103,96.2,3,"Englishmans Bay"
"ENGB",1998,435,141.5,102,91.2,3,"Englishmans Bay"
"ENGB",2011,472,174.5,98,88.2,3,"Englishmans Bay"
"ENGB",2004,448,165,100.5,100.3,3,"Englishmans Bay"
"ENGB",1995,462.5,156.6,100,91.9,3,"Englishmans Bay"
"ENGB",1997,418,85.2,111,15.3,3,"Englishmans Bay"
"ENGB",1996,449.5,143.5,102,98.4,3,"Englishmans Bay"
"ENGB",1993,473,90,77,12.8,3,"Englishmans Bay"
"ENGB",2002,411.5,139.8,97,75.3,3,"Englishmans Bay"
