POINTNUM,BAYNUM,POINTNAME,LAT,LON,Hg,Pv,HgPupSurveySite,PvPupSurveySite
270,7,Pulpit Ledge,44.37295,-68.09786,,Y,,Y
655,15,Pumpkin Island,43.75605833,-69.58073667,Y,Y,,Y
25,9,Pumpkin Island Ledges,43.75833333,-69.59151667,,Y,Y,Y
656,15,Pumpkin Island Ledges,43.75685167,-69.59257833,Y,Y,,Y
27,1,Quoddy Narrows Gravel Bar,44.82694833,-66.97502,,Y,,Y
28,1,Quoddy Narrows Rocks,44.83873667,-66.97527333,Y,Y,,Y
29,1,Race Point South Ledge,44.873275,-67.11311,,Y,,Y
759,17,Ragged Island 2,43.8221,-68.89893333,,Y,,Y
760,17,Ragged Island Ledge 2,43.81733333,-68.89225,,Y,,Y
761,17,Ragged Island Ledge 3,43.82015,-68.89513333,,Y,,Y
453,23,Ram Island 1,44.15070333,-68.38620667,,Y,,Y
527,12,Ram Island 10,43.46773333,-70.35929333,,Y,,Y
657,14,Ram Island 15,43.80379167,-69.59925167,,Y,,Y
385,9,Ram Island 17,44.105225,-68.671045,,Y,,Y
915,20,Ram Island 2,44.33376667,-68.92373333,,Y,,Y
66,2,Ram Island 4,44.57538333,-67.39318333,,Y,,Y
916,20,Ram Island 6,44.36668333,-68.8024,,Y,,Y
941,21,Ram Island 7,44.1372,-69.07305,,Y,,Y
175,5,Ram Island 8,44.49270426,-67.70437826,,Y,,Y
659,14,Ram Island Ledge 1,43.87086167,-69.68662167,,Y,,Y
917,20,Ram Island Ledge 2,44.33788333,-68.92393333,,Y,,Y
658,14,Ram Island Rock 1,43.86906,-69.68413833,,Y,,Y
725,16,Ram Island Rock 2,43.96528333,-69.35423333,,Y,,Y
236,6,Raspberry Island,44.54093333,-67.76625,,Y,,Y
830,18,Resolution Island,44.26093333,-68.85918333,,Y,,Y
128,4,Rhine Point Ledge,44.54413667,-67.55598167,,Y,,Y
454,10,Richs Ledge,44.08103,-68.58912,,Y,,Y
455,23,Ringtown Island 1,44.12372167,-68.49111333,,Y,,Y
237,6,Ripley Ledge,44.518,-67.79,,Y,,Y
942,21,Robinson Rock,44.15998333,-68.97803333,Y,Y,,Y
943,21,Robinson Rock Ledge,44.16315,-68.97863333,,Y,,Y
